 ,Area,Mean,Min,Max
158,5,103.200,92,129
159,7,92.143,88,106
160,11,111.636,98,133
161,10,106.800,94,123
162,5,98.000,96,105
163,5,97.400,93,102
164,5,109.800,97,126
165,6,100.667,90,116
166,5,116.800,98,143
167,10,96.500,84,118
168,11,97.636,89,130
169,12,112.000,102,134
170,2,106.000,100,112
171,8,107.250,98,130
172,7,98.571,91,106
173,11,97.091,91,106
174,1,117.000,117,117
175,9,110.778,99,131
176,5,109.200,102,114
177,5,108.800,103,112
178,9,100.000,91,121
179,6,103.167,94,112
180,3,84.333,83,87
181,7,97.143,84,122
182,7,99.571,86,110
183,3,89.333,85,96
184,5,119.600,107,152
